Time Taken;No. of Pieces;Order Type;Start Time;End Time;Gift Order(X/?);Time Taken
38175;1;P;4:14:00 PM;5:00:00 PM;TRUE;0:46:00
38194;1;P;2:52:00 PM;4:16:00 PM;TRUE;1:24:00
38182;1;P/L;4:26:00 PM;4:37:00 PM;FALSE;0:11:00
38188;1;P;1:00:00 PM;2:26:00 PM;TRUE;1:26:00
38221;1;P;3:25:00 PM;5:19:00 PM;TRUE;1:54:00
38267;1;P;10:49:00 AM;11:10:00 AM;FALSE;0:21:00
38242;1;P;2:56:00 PM;3:37:00 PM;FALSE;0:41:00
38293;1;P;11:38:00 AM;12:13:00 PM;FALSE;0:35:00
38318;1;P;4:01:00 PM;4:34:00 PM;FALSE;0:33:00
38339;1;C;12:22:00 PM;12:22:00 PM;FALSE;0:00:00
38338;1;P;12:32:00 PM;12:50:00 PM;FALSE;0:18:00
38358;1;P;10:57:00 AM;11:16:00 AM;FALSE;0:19:00
38370;1;P;8:28:00 AM;8:50:00 AM;FALSE;0:22:00
38366;1;P;10:20:00 AM;10:47:00 AM;FALSE;0:27:00
38325;1;P;1:50:00 PM;2:04:00 PM;FALSE;0:14:00
38531;1;P;10:02:00 AM;10:37:00 AM;FALSE;0:35:00
38564;1;P;11:00:00 AM;1:16:00 PM;TRUE;2:16:00
38550;1;P;3:15:00 PM;4:20:00 PM;FALSE;1:05:00
38563;1;P/L;4:48:00 PM;4:54:00 PM;FALSE;0:06:00
38503;1;P/L;8:03:00 AM;9:24:00 AM;FALSE;1:21:00
38578;1;P;10:17:00 AM;11:01:00 AM;FALSE;0:44:00
38596;1;P;4:21:00 PM;2:53:00 PM;FALSE;###############################################################################################################################################################################################################################################################
38595;1;P/L;8:13:00 AM;8:24:00 AM;FALSE;0:11:00
38628;1;P;10:02:00 AM;10:31:00 AM;FALSE;0:29:00
38655;1;PL;12:22:00 PM;1:20:00 PM;TRUE;0:58:00
38651;2;C;1:35:00 PM;1:43:00 PM;FALSE;0:08:00
38643;2;C;2:14:00 PM;2:18:00 PM;FALSE;0:04:00
38638;1;C;2:30:00 PM;2:54:00 PM;FALSE;0:24:00
38675;1;P;11:36:00 AM;11:47:00 AM;FALSE;0:11:00
38647;1;P;12:06:00 PM;1:14:00 PM;FALSE;1:08:00
38687;1;P;8:39:00 AM;9:00:00 AM;FALSE;0:21:00
38702;1;P;9:28:00 AM;11:45:00 AM;TRUE;2:17:00
38719;1;PL;1:18:00 PM;1:29:00 PM;FALSE;0:11:00
38714;2;P;4:12:00 PM;4:57:00 PM;FALSE;0:45:00
38730;1;C;9:32:00 AM;9:33:00 AM;FALSE;0:01:00
38738;1;C;11:17:00 AM;11:40:00 AM;FALSE;0:23:00
38740;1;C;11:35:00 AM;11:40:00 AM;FALSE;0:05:00
36743;1;PL;11:56:00 AM;12:03:00 PM;FALSE;0:07:00
38739;1;P;12:19:00 PM;12:31:00 PM;FALSE;0:12:00
38734;1;P;12:55:00 PM;1:10:00 PM;FALSE;0:15:00
38749;1;P;3:28:00 PM;5:28:00 PM;TRUE;2:00:00
38760;1;PL;9:58:00 AM;10:09:00 AM;FALSE;0:11:00
38742;1;P;11:02:00 AM;11:13:00 AM;FALSE;0:11:00
38762;1;P;11:37:00 AM;11:54:00 AM;FALSE;0:17:00
38755;1;P;3:12:00 PM;3:52:00 PM;FALSE;0:40:00
38785;2;PL;10:48:00 AM;11:43:00 AM;FALSE;0:55:00
38774;1;PL;12:05:00 PM;1:17:00 PM;FALSE;1:12:00
38648;1;P;8:30:00 AM;9:00:00 AM;FALSE;0:30:00
38664;1;P;4:00:00 PM;4:30:00 PM;FALSE;0:30:00
38672;1;P;7:45:00 AM;8:10:00 AM;FALSE;0:25:00
38710;1;P;8:15:00 AM;8:55:00 AM;FALSE;0:40:00
38691;1;P;9:15:00 AM;9:45:00 AM;FALSE;0:30:00
38752;1;C;8:30:00 AM;8:35:00 AM;FALSE;0:05:00
38754;1;C;8:40:00 AM;8:45:00 AM;FALSE;0:05:00
38747;1;P;11:55:00 AM;12:30:00 PM;FALSE;0:35:00
38870;1;L;8:00:00 AM;08:30;FALSE;0:30:00
38889;1;P;8:15:00 AM;8:45:00 AM;FALSE;0:30:00
38938;1;L;8:05:00 AM;8:30:00 AM;FALSE;0:25:00
39013;1;P;7:45:00 AM;8:30:00 AM;FALSE;0:45:00
39043;1;P;09:00;9:30:00 AM;FALSE;0:30:00
39134;1;L;7:45:00 AM;8:10:00 AM;FALSE;0:25:00
39099;1;P;9:00:00 AM;9:30:00 AM;FALSE;0:30:00
39197;1;P;7:45:00 AM;8:20:00 AM;FALSE;0:35:00
3921;1;P;10:00:00 AM;10:25:00 AM;FALSE;0:25:00
39233;1;P;7:45:00 AM;8:30:00 AM;FALSE;0:45:00
39230;1;P;8:50:00 AM;9:20:00 AM;FALSE;0:30:00
39195;2;C;10:09:00 AM;10:15:00 AM;FALSE;0:06:00
39266;1;P;8:05:00 AM;8:40:00 AM;FALSE;0:35:00
39223;1;C;1:41:00 PM;1:44:00 PM;FALSE;0:03:00
39279;1;L;3:11:00 PM;3:30:00 PM;FALSE;0:19:00
39277;1;L;2:20:00 PM;2:40:00 PM;FALSE;0:20:00
39165;1;P;3:32:00 PM;4:10:00 PM;FALSE;0:38:00
39346;1;L;8:50:00 AM;9:22:00 AM;FALSE;0:32:00
39325;1;L;9:30:00 AM;10:05:00 AM;FALSE;0:35:00
39337;1;L;8:15:00 AM;9:10:00 AM;FALSE;0:55:00
39388;1;P;7:55:00 AM;8:35:00 AM;FALSE;0:40:00
39387;1;P;10:25:00 AM;11:00:00 AM;FALSE;0:35:00
39420;1;P;3:57:00 PM;4:30:00 PM;FALSE;0:33:00
39427;1;L;7:45:00 AM;8:30:00 AM;FALSE;0:45:00
39482;1;L;8:00:00 AM;8:20:00 AM;FALSE;0:20:00
39443;1;C;8:30:00 AM;8:35:00 AM;FALSE;0:05:00
39476;1;P;9:05:00 AM;9:40:00 AM;FALSE;0:35:00
39613;1;L;8:12:00 AM;8:25:00 AM;FALSE;0:13:00
39595;1;P;8:35:00 AM;9:05:00 AM;FALSE;0:30:00
39606;1;P;9:35:00 AM;10:10:00 AM;FALSE;0:35:00
39610;1;L;4:15:00 PM;4:50:00 PM;FALSE;0:35:00
39642;1;L;8:20:00 AM;9:00:00 AM;FALSE;0:40:00
39596;1;L;9:30:00 AM;11:00:00 AM;FALSE;1:30:00
39673;1;L;8:16:00 AM;8:50:00 AM;FALSE;0:34:00
39666;1;L;9:08:00 AM;9:20:00 AM;FALSE;0:12:00
39668;5;L;10:15:00 AM;10:30:00 AM;FALSE;0:15:00
39685;1;L;8:14:00 AM;8:40:00 AM;FALSE;0:26:00
38289;1;L;9:04:00 AM;9:20:00 AM;FALSE;0:16:00
39696;1;C;3:08:00 PM;3:20:00 PM;FALSE;0:12:00
39690;5;L;4:15:00 PM;5:00:00 PM;FALSE;0:45:00
39724;1;P/L;8:10:00 AM;8:30:00 AM;FALSE;0:20:00
39727;2;P/L;9:28:00 AM;10:00:00 AM;FALSE;0:32:00
39760;1;P/L;8:00:00 AM;8:15:00 AM;FALSE;0:15:00
39772;1;P/L;8:45:00 AM;9:15:00 AM;FALSE;0:30:00
39815;1;PL;8:00:00 AM;8:15:00 AM;FALSE;0:15:00
39821;1;C;8:54:00 AM;9:00:00 AM;FALSE;0:06:00
39805;1;P;9:39:00 AM;10:05:00 AM;FALSE;0:26:00
39845;1;P;8:10:00 AM;8:50:00 AM;FALSE;0:40:00
39869;1;P/L;8:00:00 AM;8:20:00 AM;FALSE;0:20:00
39960;1;P/L;8:20:00 AM;8:45:00 AM;FALSE;0:25:00
39989;1;P/L;8:30:00 AM;8:53:00 AM;FALSE;0:23:00
40003;2;C;7:47:00 AM;07:53;FALSE;0:06:00
40010;1;P;8:15:00 AM;9:07:00 AM;FALSE;0:52:00
40031;1;C;4:49:00 PM;4:58:00 PM;FALSE;0:09:00
40033;1;P/L;8:00:00 AM;8:30:00 AM;FALSE;0:30:00
39993;1;P;9:00:00 AM;10:05:00 AM;FALSE;1:05:00
40496;1;P/L;8:00:00 AM;8:30:00 AM;FALSE;0:30:00
40517;1;C;8:40:00 AM;8:45:00 AM;FALSE;0:05:00
40518;1;P;9:00:00 AM;9:20:00 AM;FALSE;0:20:00
40534;1;P;8:15:00 AM;9:30:00 AM;FALSE;1:15:00
40549;1;P/L;8:10:00 AM;8:45:00 AM;FALSE;0:35:00
40559;1;P;11:01:00 AM;11:44:00 AM;FALSE;0:43:00
40611;1;P;7:00:00 AM;7:50:00 AM;FALSE;0:50:00
40438;2;P;8:40:00 AM;9:30:00 AM;FALSE;0:50:00
40648;1;P/L;8:11:00 AM;8:25:00 AM;FALSE;0:14:00
40682;1;P;8:04:00 AM;8:30:00 AM;FALSE;0:26:00
40698;1;P/L;8:18:00 AM;8:55:00 AM;FALSE;0:37:00
40736;1;P/L;8:33:00 AM;9:00:00 AM;FALSE;0:27:00
40770;1;P;8:18:00 AM;8:50:00 AM;FALSE;0:32:00
40766;1;P;2:51:00 PM;3:20:00 PM;FALSE;0:29:00
40795;1;P;1:36:00 PM;2:00:00 PM;FALSE;0:24:00
40809;1;P;8:30:00 AM;8:55:00 AM;FALSE;0:25:00
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
